,id,date,tweet,likes_count,hashtags,sentiment
6207,1313629237773918214,2020-10-06,丸の内で就職したら、幽霊物件担当でした。8 、10/23発売です！Amazonにカバー出てましたが、夜の海と民宿、素敵です…。遠くの方に伊原とリアムも描いていただきました！よろしくお願いいたします！ https://t.co/PhcC1R2PZD @amazonJPより  https://t.co/2J18YU5IsY,108,[],0.0
6208,1313629187316490241,2020-10-06,Softcovers are available on Amazon.,12,[],0.4
6209,1313629113593204736,2020-10-06,Amazonランキングで141位となりました！ありがとうございました！あと少しでTOP100入りです！  税金下げろ、規制をなくせ 日本経済復活の処方箋 (光文社新書)   渡瀬裕哉  https://t.co/GKaQEUDxpt @amazonJPより,269,[],0.0
6210,1313629030093148160,2020-10-06,"Apple, Facebook, Google, and Amazon are the big monopolies you thought they were, lawmakers find  https://t.co/y5PmDMNJJS  https://t.co/a1I19HdVNJ",27,[],0.0
6211,1313628960043888640,2020-10-06,毎日🐜プレゼント企画🐜 10月分💝7日目💝 ▷Amazonギフト券100円分◁  当選人数:1人 応募条件:フォロー&amp;RT&amp;当選報告 締め切り: 10/7 23:59  #プレゼント企画 #Amazonギフト券 #ポイ活 #懸賞 #アマギフ #お小遣い稼ぎ  https://t.co/9kYVhCZXso,70,"['プレゼント企画', 'amazonギフト券', 'ポイ活', '懸賞', 'アマギフ', 'お小遣い稼ぎ']",0.0
6212,1313628954729820161,2020-10-06,"Amazon, Facebook, Google y Apple son un peligro para el ""monopolio de la verdad""de los gobiernos de todo el mundo, incluído EEUU. Entonces condenan ahí a esas empresas por ""monopolio económico"". Julio López trata ahora en TN de ""amebas"" a sus usuarios,que vergüenza este tipejo.",23,[],0.0
6213,1313628871464370176,2020-10-06,"Why is Amazon video so laughably bad at offering you the next episode in a series upon returning to the site? ""Rewatch the last episode you watched!"" is not smart.",11,[],-0.15238095238095237
6214,1313628828233723904,2020-10-06,ここ1ヶ月、 副業内容が激変し過ぎて、、、Twitterは後回し😓  昨日は勢いで、Amazon初出品✨ 今日は、Amazon出品大学にてひたすら勉強です✍️,21,[],0.0
6215,1313628785997119492,2020-10-06,Roku couldn't buy advertise on Amazon for a keyword search of its own brand because it competes with something Amazon makes.  https://t.co/O5Efmj2QJU,111,[],0.3
6216,1313628468819701761,2020-10-06,Damn I wish amazon had a physical store so I could steal from it,15,[],0.0
