"","stock","price_ma","price_window","sentiment_ma","sentiment_window","return_percent"
"192","Intel","SMA",10,"SMA",10,143.7228840133
"193","Intel",NA,NA,"WMA",10,150.648706938
"194","Intel","WMA",10,NA,NA,64.1584517236
"195","Intel","WMA",10,"WMA",10,143.7228840133
"196","Intel",NA,NA,"EMA",10,150.648706938
"197","Intel","EMA",10,NA,NA,73.1301612898
"198","Intel","EMA",10,"EMA",10,140.024433733
"199","Intel",NA,NA,"SMA",15,141.1946641288
"200","Intel","SMA",15,NA,NA,93.4950835385
"201","Intel","SMA",15,"SMA",15,0
"202","Intel",NA,NA,"WMA",15,141.1946641288
"203","Intel","WMA",15,NA,NA,76.6842743324
"204","Intel","WMA",15,"WMA",15,141.1006877622
"205","Intel",NA,NA,"EMA",15,141.1946641288
"206","Intel","EMA",15,NA,NA,90.6919435548
"207","Intel","EMA",15,"EMA",15,0
"208","Intel",NA,NA,"SMA",20,140.924091813
"209","Intel","SMA",20,NA,NA,98.7397156203
"210","Intel","SMA",20,"SMA",20,0
"211","Intel",NA,NA,"WMA",20,140.924091813
"212","Intel","WMA",20,NA,NA,88.7919770361
"213","Intel","WMA",20,"WMA",20,0
"214","Intel",NA,NA,"EMA",20,140.924091813
"215","Intel","EMA",20,NA,NA,78.0591636173
"216","Intel","EMA",20,"EMA",20,0
"217","Intel",NA,NA,"SMA",25,100
"218","Intel","SMA",25,NA,NA,84.2860260822001
"219","Intel","SMA",25,"SMA",25,NA
"220","Intel",NA,NA,"WMA",25,100
"221","Intel","WMA",25,NA,NA,84.1822637131
"222","Intel","WMA",25,"WMA",25,0
"223","Intel",NA,NA,"EMA",25,130.8467237222
"224","Intel","EMA",25,NA,NA,76.9103190383
"225","Intel","EMA",25,"EMA",25,0
"226","Intel",NA,NA,"SMA",30,100
"227","Intel","SMA",30,NA,NA,87.7269441412
"228","Intel","SMA",30,"SMA",30,NA
"229","Intel",NA,NA,"WMA",30,100
"230","Intel","WMA",30,NA,NA,87.1004386585
"231","Intel","WMA",30,"WMA",30,NA
"232","Intel",NA,NA,"EMA",30,100
"233","Intel","EMA",30,NA,NA,83.3243922188
"234","Intel","EMA",30,"EMA",30,NA
"235","Intel",NA,NA,"SMA",35,100
"236","Intel","SMA",35,NA,NA,79.2700638435
"237","Intel","SMA",35,"SMA",35,NA
"238","Intel",NA,NA,"WMA",35,100
"239","Intel","WMA",35,NA,NA,80.7232637998
"240","Intel","WMA",35,"WMA",35,NA
"241","Intel",NA,NA,"EMA",35,100
"242","Intel","EMA",35,NA,NA,69.8900941946
"243","Intel","EMA",35,"EMA",35,NA
"244","Intel",NA,NA,"SMA",40,100
"245","Intel","SMA",40,NA,NA,72.6842741564
"246","Intel","SMA",40,"SMA",40,NA
"247","Intel",NA,NA,"WMA",40,100
"248","Intel","WMA",40,NA,NA,83.0146834923
"249","Intel","WMA",40,"WMA",40,NA
"250","Intel",NA,NA,"EMA",40,100
"251","Intel","EMA",40,NA,NA,63.5401328283
"252","Intel","EMA",40,"EMA",40,NA
"253","Intel",NA,NA,"SMA",45,100
"254","Intel","SMA",45,NA,NA,89.2704816987
"255","Intel","SMA",45,"SMA",45,NA
"256","Intel",NA,NA,"WMA",45,100
"257","Intel","WMA",45,NA,NA,89.421096832
"258","Intel","WMA",45,"WMA",45,NA
"259","Intel",NA,NA,"EMA",45,100
"260","Intel","EMA",45,NA,NA,69.8694989103
"261","Intel","EMA",45,"EMA",45,NA
"262","Intel",NA,NA,"SMA",50,100
"263","Intel","SMA",50,NA,NA,83.655010601
"264","Intel","SMA",50,"SMA",50,NA
"265","Intel",NA,NA,"WMA",50,100
"266","Intel","WMA",50,NA,NA,80.0661302195
"267","Intel","WMA",50,"WMA",50,NA
"268","Intel",NA,NA,"EMA",50,100
"269","Intel","EMA",50,NA,NA,69.8552219532
"270","Intel","EMA",50,"EMA",50,NA
"271","Tesla",NA,NA,"SMA",5,242.7263606283
"272","Tesla","SMA",5,NA,NA,604.2299316919
"273","Tesla","SMA",5,"SMA",5,308.9364911846
"274","Tesla",NA,NA,"WMA",5,215.5677397894
"275","Tesla","WMA",5,NA,NA,727.3033916715
"276","Tesla","WMA",5,"WMA",5,289.5021237016
"277","Tesla",NA,NA,"EMA",5,220.9097248709
"278","Tesla","EMA",5,NA,NA,586.9072939737
"279","Tesla","EMA",5,"EMA",5,291.0923237904
"280","Tesla",NA,NA,"SMA",10,205.640714047
"281","Tesla","SMA",10,NA,NA,757.3032755647
"282","Tesla","SMA",10,"SMA",10,432.8662883449
"283","Tesla",NA,NA,"WMA",10,285.7138289434
"284","Tesla","WMA",10,NA,NA,657.8233793992
"285","Tesla","WMA",10,"WMA",10,369.0706317962
"286","Tesla",NA,NA,"EMA",10,237.8984473138
"287","Tesla","EMA",10,NA,NA,597.1846718929
"288","Tesla","EMA",10,"EMA",10,432.8662883449
"289","Tesla",NA,NA,"SMA",15,242.2614326707
"290","Tesla","SMA",15,NA,NA,552.6397114728
"291","Tesla","SMA",15,"SMA",15,628.0716858704
"292","Tesla",NA,NA,"WMA",15,306.9251707173
"293","Tesla","WMA",15,NA,NA,626.0773152502
"294","Tesla","WMA",15,"WMA",15,682.4292210265
"295","Tesla",NA,NA,"EMA",15,300.1560518567
"296","Tesla","EMA",15,NA,NA,515.3948654979
"297","Tesla","EMA",15,"EMA",15,425.3957723352
"298","Tesla",NA,NA,"SMA",20,256.7022953293
"299","Tesla","SMA",20,NA,NA,586.4015027249
"300","Tesla","SMA",20,"SMA",20,634.1706992972
"301","Tesla",NA,NA,"WMA",20,238.4302525611
"302","Tesla","WMA",20,NA,NA,446.2642517689
"303","Tesla","WMA",20,"WMA",20,639.0996845245
"304","Tesla",NA,NA,"EMA",20,301.6595375703
"305","Tesla","EMA",20,NA,NA,687.4482880956
"306","Tesla","EMA",20,"EMA",20,731.8120012218
"307","Tesla",NA,NA,"SMA",25,261.868208021
"308","Tesla","SMA",25,NA,NA,725.5276533207
